query_id,split,rank_152,rank_221,rank_delta_152_minus_221,change
emanual_1,test,16,20,-4,declined
emanual_101,validation,1,2,-1,declined
emanual_114,test,1,1,0,unchanged
emanual_116,test,1,2,-1,declined
emanual_125,validation,1,1,0,unchanged
emanual_132,test,2,2,0,unchanged
emanual_135,validation,2,4,-2,declined
emanual_139,validation,1,1,0,unchanged
emanual_14,test,1,1,0,unchanged
emanual_140,validation,1,1,0,unchanged
emanual_145,test,1,1,0,unchanged
emanual_146,validation,6,9,-3,declined
emanual_155,validation,1,1,0,unchanged
emanual_176,test,5,6,-1,declined
emanual_179,validation,2,2,0,unchanged
emanual_182,validation,1,2,-1,declined
emanual_186,validation,3,5,-2,declined
emanual_188,test,1,1,0,unchanged
emanual_19,test,4,5,-1,declined
emanual_191,test,2,2,0,unchanged
emanual_196,validation,3,4,-1,declined
emanual_211,validation,3,3,0,unchanged
emanual_212,validation,5,6,-1,declined
emanual_22,validation,1,1,0,unchanged
emanual_225,validation,1,1,0,unchanged
emanual_229,test,1,1,0,unchanged
emanual_237,test,1,1,0,unchanged
emanual_256,validation,1,1,0,unchanged
emanual_257,test,1,2,-1,declined
emanual_26,validation,1,1,0,unchanged
emanual_267,validation,1,2,-1,declined
emanual_275,validation,1,1,0,unchanged
emanual_276,test,1,1,0,unchanged
emanual_282,test,11,17,-6,declined
emanual_283,test,3,6,-3,declined
emanual_284,test,145,209,-64,declined
emanual_287,validation,1,1,0,unchanged
emanual_289,test,1,1,0,unchanged
emanual_29,validation,1,1,0,unchanged
emanual_3,validation,1,1,0,unchanged
emanual_300,test,1,1,0,unchanged
emanual_302,test,4,6,-2,declined
emanual_305,test,1,1,0,unchanged
emanual_310,test,2,2,0,unchanged
emanual_318,validation,1,1,0,unchanged
emanual_32,test,2,2,0,unchanged
emanual_325,validation,6,7,-1,declined
emanual_333,test,1,1,0,unchanged
emanual_341,test,1,2,-1,declined
emanual_346,validation,1,2,-1,declined
emanual_347,test,1,1,0,unchanged
emanual_348,validation,2,2,0,unchanged
emanual_353,test,1,1,0,unchanged
emanual_359,test,1,1,0,unchanged
emanual_363,test,1,1,0,unchanged
emanual_365,test,1,1,0,unchanged
emanual_371,test,2,2,0,unchanged
emanual_377,validation,1,2,-1,declined
emanual_39,validation,2,2,0,unchanged
emanual_390,validation,1,1,0,unchanged
emanual_393,validation,1,1,0,unchanged
emanual_395,test,1,1,0,unchanged
emanual_396,validation,1,1,0,unchanged
emanual_4,test,1,1,0,unchanged
emanual_401,validation,2,2,0,unchanged
emanual_403,test,1,3,-2,declined
emanual_405,validation,1,1,0,unchanged
emanual_411,validation,1,1,0,unchanged
emanual_413,test,1,1,0,unchanged
emanual_420,test,14,14,0,unchanged
emanual_423,validation,2,4,-2,declined
emanual_426,test,1,1,0,unchanged
emanual_430,test,2,2,0,unchanged
emanual_433,test,1,1,0,unchanged
emanual_434,validation,1,1,0,unchanged
emanual_437,validation,13,16,-3,declined
emanual_442,test,1,1,0,unchanged
emanual_451,test,15,22,-7,declined
emanual_454,test,1,1,0,unchanged
emanual_458,validation,2,2,0,unchanged
emanual_461,validation,2,4,-2,declined
emanual_465,test,1,1,0,unchanged
emanual_466,test,1,1,0,unchanged
emanual_467,test,1,1,0,unchanged
emanual_468,validation,2,2,0,unchanged
emanual_470,validation,1,2,-1,declined
emanual_473,test,3,3,0,unchanged
emanual_478,validation,1,1,0,unchanged
emanual_486,test,4,6,-2,declined
emanual_489,validation,6,9,-3,declined
emanual_490,test,4,6,-2,declined
emanual_50,validation,2,2,0,unchanged
emanual_507,validation,1,1,0,unchanged
emanual_513,validation,1,1,0,unchanged
emanual_514,validation,1,1,0,unchanged
emanual_522,validation,1,1,0,unchanged
emanual_524,validation,2,2,0,unchanged
emanual_527,validation,1,1,0,unchanged
emanual_529,validation,1,2,-1,declined
emanual_535,test,1,1,0,unchanged
emanual_537,validation,1,1,0,unchanged
emanual_539,test,1,1,0,unchanged
emanual_543,test,1,1,0,unchanged
emanual_548,test,1,1,0,unchanged
emanual_550,validation,2,2,0,unchanged
emanual_555,validation,3,8,-5,declined
emanual_558,test,1,1,0,unchanged
emanual_567,validation,2,2,0,unchanged
emanual_568,test,1,1,0,unchanged
emanual_574,validation,1,1,0,unchanged
emanual_577,test,1,1,0,unchanged
emanual_580,validation,1,1,0,unchanged
emanual_59,test,1,1,0,unchanged
emanual_590,validation,3,3,0,unchanged
emanual_594,test,1,1,0,unchanged
emanual_599,validation,1,1,0,unchanged
emanual_605,validation,1,1,0,unchanged
emanual_618,validation,4,4,0,unchanged
emanual_631,test,3,5,-2,declined
emanual_634,validation,1,1,0,unchanged
emanual_637,test,1,1,0,unchanged
emanual_64,test,1,1,0,unchanged
emanual_645,test,2,2,0,unchanged
emanual_648,test,2,2,0,unchanged
emanual_69,validation,1,1,0,unchanged
emanual_75,validation,1,1,0,unchanged
emanual_82,test,1,1,0,unchanged
emanual_85,validation,3,3,0,unchanged
emanual_89,test,1,1,0,unchanged
emanual_92,test,1,1,0,unchanged
emanual_97,test,4,4,0,unchanged
emanual_98,validation,1,1,0,unchanged
