query_id,condition,four_b_correct,nine_b_correct,mimo_correct,category
mxq-001,oracle_packet,True,True,True,unchanged
mxq-001,dense_packet,False,True,True,mimo_improved
mxq-002,oracle_packet,True,True,True,unchanged
mxq-002,dense_packet,True,True,True,unchanged
mxq-003,oracle_packet,True,True,True,unchanged
mxq-003,dense_packet,True,True,True,unchanged
mxq-004,oracle_packet,True,True,True,unchanged
mxq-004,dense_packet,False,False,True,local_failed_mimo_correct
mxq-005,oracle_packet,True,True,True,unchanged
mxq-005,dense_packet,True,True,True,unchanged
mxq-006,oracle_packet,True,True,True,unchanged
mxq-006,dense_packet,True,True,True,unchanged
mxq-007,oracle_packet,True,True,True,unchanged
mxq-007,dense_packet,True,True,True,unchanged
mxq-008,oracle_packet,True,True,True,unchanged
mxq-008,dense_packet,True,True,True,unchanged
mxq-009,oracle_packet,True,True,True,unchanged
mxq-009,dense_packet,True,True,True,unchanged
mxq-010,oracle_packet,True,True,True,unchanged
mxq-010,dense_packet,True,True,True,unchanged
mxq-011,oracle_packet,True,True,True,unchanged
mxq-011,dense_packet,True,True,True,unchanged
mxq-012,oracle_packet,False,False,True,local_failed_mimo_correct
mxq-012,dense_packet,True,True,False,mimo_declined
mxq-013,oracle_packet,False,True,True,mimo_improved
mxq-013,dense_packet,True,True,True,unchanged
mxq-014,oracle_packet,True,True,True,unchanged
mxq-014,dense_packet,True,True,True,unchanged
mxq-015,oracle_packet,False,True,False,mimo_declined
mxq-015,dense_packet,True,False,True,mimo_improved
mxq-016,oracle_packet,False,True,True,mimo_improved
mxq-016,dense_packet,True,True,True,unchanged
mxq-017,oracle_packet,True,False,True,mimo_improved
mxq-017,dense_packet,True,True,True,unchanged
mxq-018,oracle_packet,False,False,False,three_failed
mxq-018,dense_packet,False,True,False,mimo_declined
mxq-019,oracle_packet,False,False,True,local_failed_mimo_correct
mxq-019,dense_packet,False,False,False,three_failed
mxq-020,oracle_packet,False,True,True,mimo_improved
mxq-020,dense_packet,True,True,True,unchanged
mxq-021,oracle_packet,True,True,True,unchanged
mxq-021,dense_packet,True,True,True,unchanged
mxq-022,oracle_packet,True,True,True,unchanged
mxq-022,dense_packet,True,True,True,unchanged
mxq-023,oracle_packet,True,True,True,unchanged
mxq-023,dense_packet,True,True,True,unchanged
mxq-024,oracle_packet,True,True,True,unchanged
mxq-024,dense_packet,True,True,True,unchanged
mxq-025,oracle_packet,True,True,True,unchanged
mxq-025,dense_packet,True,True,True,unchanged
mxq-026,oracle_packet,True,True,True,unchanged
mxq-026,dense_packet,True,True,True,unchanged
mxq-027,oracle_packet,True,True,True,unchanged
mxq-027,dense_packet,True,True,True,unchanged
mxq-028,oracle_packet,True,True,True,unchanged
mxq-028,dense_packet,True,True,True,unchanged
mxq-029,oracle_packet,True,True,True,unchanged
mxq-029,dense_packet,True,True,True,unchanged
mxq-030,oracle_packet,True,True,True,unchanged
mxq-030,dense_packet,True,True,True,unchanged
